OBJEK,ATNAM,ATWRT
100000000000000001_BT104332,LOT_SUITABLE_COUNTRY,"BR,ES,IN,IT,NO,PH,PT,US"
100000000000000001_BT104332,LOT_NOT_SUITABLE_COUNTRY,DE
100000000000000001_BT104332,LOT_STATUS,ACTIVE
100000000000000001_BT104332,INCYTE_BS_BATCH,BS-104332
100000000000000001_BT104332,INCYTE_DP_BATCH,DP-181960
100000000000000001_BT104332,INCYTE_API_BATCH,API-013389
100000000000000001_BT104332,INCYTE_COMMON_BLEND_BATCH,CB-083863
100000000000000001_BT104332,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000001_BT104332,PRODUCTION_VERSION,PV-1
100000000000000001_BT104332,PROD_VERSION_DESCRIPTION,Production Version 2
100000000000000001_BT104332,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000001_BT104332,USAGE_DECISION,RELEASED
100000000000000001_BT104332,BATCH_USAGE_IN_ORDERS,YES
100000000000000001_BT104332,PRODUCTION_DATE,2025-04-27
100000000000000002_BT637940,LOT_SUITABLE_COUNTRY,"CN,FI,NL"
100000000000000002_BT637940,LOT_NOT_SUITABLE_COUNTRY,"AT,CA,IN,ZA"
100000000000000002_BT637940,LOT_STATUS,EXPIRED
100000000000000002_BT637940,INCYTE_BS_BATCH,BS-794026
100000000000000002_BT637940,INCYTE_DP_BATCH,DP-542351
100000000000000002_BT637940,INCYTE_API_BATCH,API-161559
100000000000000002_BT637940,INCYTE_COMMON_BLEND_BATCH,CB-407816
100000000000000002_BT637940,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000002_BT637940,PRODUCTION_VERSION,PV-1
100000000000000002_BT637940,PROD_VERSION_DESCRIPTION,Production Version 13
100000000000000002_BT637940,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000002_BT637940,USAGE_DECISION,REJECTED
100000000000000002_BT637940,BATCH_USAGE_IN_ORDERS,NO
100000000000000002_BT637940,PRODUCTION_DATE,2025-05-21
100000000000000002_BT781618,LOT_SUITABLE_COUNTRY,"BR,CA,CN,ES,IE"
100000000000000002_BT781618,LOT_NOT_SUITABLE_COUNTRY,TH
100000000000000002_BT781618,LOT_STATUS,ACTIVE
100000000000000002_BT781618,INCYTE_BS_BATCH,BS-184959
100000000000000002_BT781618,INCYTE_DP_BATCH,DP-310341
100000000000000002_BT781618,INCYTE_API_BATCH,API-316475
100000000000000002_BT781618,INCYTE_COMMON_BLEND_BATCH,CB-255341
100000000000000002_BT781618,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000002_BT781618,PRODUCTION_VERSION,PV-6
100000000000000002_BT781618,PROD_VERSION_DESCRIPTION,Production Version 14
100000000000000002_BT781618,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000002_BT781618,USAGE_DECISION,RELEASED
100000000000000002_BT781618,BATCH_USAGE_IN_ORDERS,YES
100000000000000002_BT781618,PRODUCTION_DATE,2023-12-29
100000000000000002_BT553419,LOT_SUITABLE_COUNTRY,"NL,NO,ZA"
100000000000000002_BT553419,LOT_NOT_SUITABLE_COUNTRY,JP
100000000000000002_BT553419,LOT_STATUS,ACTIVE
100000000000000002_BT553419,INCYTE_BS_BATCH,BS-928327
100000000000000002_BT553419,INCYTE_DP_BATCH,DP-648350
100000000000000002_BT553419,INCYTE_API_BATCH,API-305641
100000000000000002_BT553419,INCYTE_COMMON_BLEND_BATCH,CB-395376
100000000000000002_BT553419,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000002_BT553419,PRODUCTION_VERSION,PV-5
100000000000000002_BT553419,PROD_VERSION_DESCRIPTION,Production Version 14
100000000000000002_BT553419,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000002_BT553419,USAGE_DECISION,RELEASED
100000000000000002_BT553419,BATCH_USAGE_IN_ORDERS,NO
100000000000000002_BT553419,PRODUCTION_DATE,2025-01-06
100000000000000003_BT395376,LOT_SUITABLE_COUNTRY,"BE,CN,DE,FI,FR"
100000000000000003_BT395376,LOT_NOT_SUITABLE_COUNTRY,"ES,ZA"
100000000000000003_BT395376,LOT_STATUS,IN_PROCESS
100000000000000003_BT395376,INCYTE_BS_BATCH,BS-724238
100000000000000003_BT395376,INCYTE_DP_BATCH,DP-849696
100000000000000003_BT395376,INCYTE_API_BATCH,API-532871
100000000000000003_BT395376,INCYTE_COMMON_BLEND_BATCH,CB-012269
100000000000000003_BT395376,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000003_BT395376,PRODUCTION_VERSION,PV-14
100000000000000003_BT395376,PROD_VERSION_DESCRIPTION,Production Version 4
