MANDT,EBELN,EBELP,ETENR,EINDT,SLFDT,LPEIN,MENGE,AMENG,WEMNG,WAMNG,UZEIT,BANFN,BNFPO,ESTKZ,QUNUM,QUPOS,MAHNZ,BEDAT,RSNUM,SERNR,FIXKZ,GLMNG,DABMG,CHARG,LICHA,CHKOM,VERID,ABART,MNG02,DAT01,ALTDT,MBDAT,MBUHR,LDDAT,LDUHR,TDDAT,TDUHR,WADAT,WAUHR,ELDAT,ELUHR,ANZSN,NODISP,HANDOVERDATE,HANDOVERTIME,KEY_ID,OTB_VALUE,OTB_CURR,OTB_RES_VALUE,OTB_SPEC_VALUE,OTB_STATUS,OTB_REASON,CHECK_TYPE,DL_ID,HANDOVER_DATE,NO_SCEM,DNG_DATE,DNG_TIME,CNCL_ANCMNT_DONE,DATESHIFT_NUMBER
300,4500000000,00010,0001,20250622,20250622,2,465.962,0,355.455,0,180605,PR90850295,00065,B,Q805186695,753,2,20250508,9805782280,SR093019,X,355.455,110.507,BATCH3546,VEND_BATCH366964,X,V241,3,465.962,20250622,20250617,20250622,220226,20250620,084734,20250619,085348,20250622,165953,20250623,170752,2,,20250622,150609,9681230330644947,32463.98,INR,18483.4,411.8,C,002,2,f73b9fd1381648d0bd06b9,20250622,,20250508,110413,X,2
300,4500000000,00020,0001,20250612,20250612,1,477.046,0,286.444,0,015259,PR28947476,00081,F,Q406838852,257,0,20250607,3801564898,SR446630,X,286.444,190.602,BATCH7070,VEND_BATCH024680,X,V529,2,477.046,20250612,20250611,20250612,074041,20250610,061012,20250609,045313,20250612,044108,20250613,124920,4,,20250612,095533,7711404049988529,27319.45,INR,17932.69,4123.16,B,001,2,ede9982c58274aebbde46c,20250612,,20250607,092744,,0
300,4500000000,00030,0001,20250512,20250512,1,127.495,0,123.865,0,164829,PR56585360,00086,F,Q053117565,717,1,20250419,8644034258,SR897353,X,123.865,3.63,BATCH3193,VEND_BATCH185087,X,V719,1,127.495,20250512,20250511,20250512,100145,20250510,235220,20250509,234134,20250512,184951,20250513,105424,9,X,20250512,210552,3462375310455903,41697.19,INR,1966.8,1365.2,B,001,1,083ea827f1e944d18f57c8,20250512,,20250419,035325,X,0
100,4500000000,00030,0002,20260217,20260217,1,127.495,0,73.526,0,054116,PR19523486,00056,F,Q488753683,689,2,20260208,1189211875,SR911010,X,73.526,53.969,BATCH7552,VEND_BATCH093831,X,V789,2,127.495,20260217,20260213,20260217,043859,20260215,140717,20260214,113430,20260217,125144,20260218,172128,0,X,20260217,194850,6006196754036325,23609.07,INR,11387.39,2458.56,B,001,1,2f91e59cfe1541b5bf3df9,20260217,,20260208,040104,X,5
100,4500000000,00030,0003,20250608,20250608,1,127.495,0,64.323,0,093511,PR53174873,00045,R,Q810110669,818,3,20250430,3658706094,SR022007,X,64.323,63.172,BATCH4539,VEND_BATCH041874,X,V555,3,127.495,20250608,20250603,20250608,223356,20250606,024626,20250605,232740,20250608,193350,20250609,015615,4,,20250608,035811,9061651494252937,23277.52,INR,3958.59,4504.74,B,003,1,635321dc8a0c4dcda24e2b,20250608,,20250430,101327,,0
400,4500000000,00040,0001,20251019,20251019,1,249.975,0,221.556,0,004542,PR54430112,00073,F,Q347386918,059,1,20250914,2336470572,SR444574,,221.556,28.419,BATCH7195,VEND_BATCH430135,,V044,1,249.975,20251019,20251017,20251019,195843,20251017,055919,20251016,162745,20251019,045012,20251020,211052,1,X,20251019,084129,5108249968598874,9890.9,INR,2180.02,2997.39,C,002,1,831a2b28c1cb4bbb811a29,20251019,X,20250914,043150,,3
400,4500000000,00040,0002,20251230,20251230,1,249.975,0,129.972,0,113156,PR58729692,00054,R,Q825422993,202,1,20251220,3528750185,SR792825,X,129.972,120.003,BATCH7449,VEND_BATCH054784,,V901,3,249.975,20251230,20251226,20251230,000250,20251228,214710,20251227,021609,20251230,122047,20251231,101307,10,,20251230,230751,9404850619100002,20486.72,INR,8814.03,188.77,C,003,2,5f937b228fe64950869c58,20251230,,20251220,083701,X,2
300,4500000000,00050,0001,20260112,20260112,1,233.592,0,208.412,0,010613,PR84134513,00016,F,Q244932923,292,3,20251215,4930668131,SR132148,,208.412,25.18,BATCH7927,VEND_BATCH350491,X,V656,2,233.592,20260112,20260107,20260112,175658,20260110,171644,20260109,151355,20260112,205500,20260113,161915,3,X,20260112,124754,2086562838435117,22272.49,INR,3995.81,3794.69,B,002,2,c69be4a133714346a51821,20260112,X,20251215,010739,,0
200,4500000001,00010,0001,20251010,20251010,2,71.112,0,47.636,0,100339,PR96602140,00086,B,Q448012370,251,1,20250910,4177067934,SR296280,,47.636,23.476,BATCH3143,VEND_BATCH586021,,V705,1,71.112,20251010,20251008,20251010,215326,20251008,003333,20251007,162057,20251010,214023,20251011,194451,8,,20251010,220314,4459581100440390,10111.74,INR,7525.11,236.91,A,001,2,4a7090bd14ae403eadb4ab,20251010,,20250910,232429,,3
300,4500000001,00010,0002,20250629,20250629,2,71.112,0,39.729,0,062840,PR40235055,00050,R,Q742322804,642,2,20250601,7429684310,SR367324,X,39.729,31.383,BATCH6171,VEND_BATCH047097,,V892,2,71.112,20250629,20250624,20250629,161416,20250627,021434,20250626,120951,20250629,014301,20250630,181149,0,X,20250629,235308,7919064633999442,29677.98,INR,10132.04,1881.9,B,002,1,f875aa4451a84f798e8d05,20250629,X,20250601,114223,X,4
