MANDT,PLNTY,PLNNR,PLNAL,ZAEHL,DATUV,TECHV,AENNR,LOEKZ,PARKZ,ANDAT,ANNAM,AEDAT,AENAM,VERWE,WERKS,STATU,PLNME,LOSVN,LOSBS,VAGRP,AESZN,KTEXT,TXTSP,ABDAT,ABANZ,PROFIDNETZ,KOKRS,QVEWERKS,QVEMENGE,QVEVERSION,QVEDATUM,QVEGRUPPE,QVECODE,QDYNREGEL,QDYNHEAD,QPRZIEHVER,QVERSNPRZV,QKZRASTER,QDYNSTRING,STRAT,PPOOL,ISTRU,IWERK,ANLZU,ARBID,EXTNUM,DELKZ,ARBTY,STUPR,CLNDR,PRTYP,REODAT,NETID,FLG_CHK,PSPNR,TTRAS,KZKFG,PLNNR_ALT,FLG_CAPO,STLTY,STLNR,STLAL,SLWBEZ,PPKZTLZU,CHRULE,CCOAA,ST_ARBID,MEINH,UMREZ,UMREN,BMSCH,ADPSP,MS_FLAG,TSTMP_BW,MES_ROUTINGID,XHIERTL,TL_EXTID
100,N,10000000,01,00000001,20260212,TECH_STATUS_00,CHG000000000,X,X,20260212,USER_000,20260212,CHG_USER_000,001,PL01,REL,EA,1.000,100.000,001,000000,Routing for Material 0000,E,20260212,0,PROF000,K001,PL01,UDSET0000,000000,20260212,UDGRP0000,A001,001,1,SAMP0000,000000,X,0000000000,STR000,PKG000,000000000000100000,PL01,1,00001000,1,X,01,SETUP000,CLEAN000,1,20260212,00002000,X,00003000,000000,X,OLD_000000,X,M,00000000,01,001,1,1,000,00004000,EA,1,1,1.000,REF_ELEMENT_0,X,1000000000000000,MES_ROUT_0,X,EXT_TASKLIST_0
200,Q,10000001,02,00000002,20260211,TECH_STATUS_01,CHG000000001,"","",20260212,USER_001,20260212,CHG_USER_001,002,PL02,CRTD,EA,2.000,101.000,002,000001,Routing for Material 0001,E,20260212,1,PROF001,K001,PL02,UDSET0001,000001,20260212,UDGRP0001,R001,002,1,SAMP0001,000001,X,0000000001,STR001,PKG001,000000000000100001,PL02,1,00001001,1,"",01,SETUP001,CLEAN001,1,20260212,00002001,X,00003001,000001,X,OLD_000001,X,M,00000001,01,002,1,1,001,00004001,EA,1,1,1.000,REF_ELEMENT_1,X,1000000000000001,MES_ROUT_1,X,EXT_TASKLIST_1
300,R,10000002,03,00000003,20260210,TECH_STATUS_02,CHG000000002,"","",20260212,USER_002,20260212,CHG_USER_002,003,PL03,INAC,EA,3.000,102.000,003,000002,Routing for Material 0002,E,20260212,2,PROF002,K001,PL03,UDSET0002,000002,20260212,UDGRP0002,A002,003,1,SAMP0002,000002,X,0000000002,STR002,PKG002,000000000000100002,PL03,1,00001002,1,"",01,SETUP002,CLEAN002,1,20260212,00002002,X,00003002,000002,X,OLD_000002,X,M,00000002,01,003,1,1,002,00004002,EA,1,1,1.000,REF_ELEMENT_2,X,1000000000000002,MES_ROUT_2,X,EXT_TASKLIST_2
100,N,10000003,04,00000004,20260209,TECH_STATUS_03,CHG000000003,"","",20260212,USER_003,20260212,CHG_USER_003,001,PL04,HOLD,EA,4.000,103.000,004,000003,Routing for Material 0003,E,20260212,3,PROF003,K001,PL04,UDSET0003,000003,20260212,UDGRP0003,A002,004,1,SAMP0003,000003,X,0000000003,STR003,PKG003,000000000000100003,PL04,1,00001003,1,"",01,SETUP003,CLEAN003,1,20260212,00002003,X,00003003,000003,X,OLD_000003,X,M,00000003,01,004,1,1,003,00004003,EA,1,1,1.000,REF_ELEMENT_3,X,1000000000000003,MES_ROUT_3,X,EXT_TASKLIST_3
200,Q,10000004,05,00000005,20260208,TECH_STATUS_04,CHG000000004,"","",20260212,USER_004,20260212,CHG_USER_004,002,PL05,REL,EA,5.000,104.000,005,000004,Routing for Material 0004,E,20260212,4,PROF004,K001,PL05,UDSET0004,000004,20260212,UDGRP0004,A002,005,1,SAMP0004,000004,X,0000000004,STR004,PKG004,000000000000100004,PL05,1,00001004,1,"",01,SETUP004,CLEAN004,1,20260212,00002004,X,00003004,000004,X,OLD_000004,X,M,00000004,01,005,1,1,004,00004004,EA,1,1,1.000,REF_ELEMENT_4,X,1000000000000004,MES_ROUT_4,X,EXT_TASKLIST_4
300,R,10000005,01,00000006,20260207,TECH_STATUS_05,CHG000000005,"","",20260212,USER_005,20260212,CHG_USER_005,003,PL06,CRTD,EA,6.000,105.000,006,000005,Routing for Material 0005,E,20260212,5,PROF005,K001,PL06,UDSET0005,000005,20260212,UDGRP0005,A001,001,1,SAMP0005,000005,X,0000000005,STR005,PKG005,000000000000100005,PL06,1,00001005,1,"",01,SETUP005,CLEAN005,1,20260212,00002005,X,00003005,000005,X,OLD_000005,X,M,00000005,01,001,1,1,005,00004005,EA,1,1,1.000,REF_ELEMENT_5,X,1000000000000005,MES_ROUT_5,X,EXT_TASKLIST_5
100,N,10000006,02,00000007,20260206,TECH_STATUS_06,CHG000000006,"","",20260212,USER_006,20260212,CHG_USER_006,001,PL07,INAC,EA,7.000,106.000,007,000006,Routing for Material 0006,E,20260212,6,PROF006,K001,PL07,UDSET0006,000006,20260212,UDGRP0006,R001,002,1,SAMP0006,000006,X,0000000006,STR006,PKG006,000000000000100006,PL07,1,00001006,1,"",01,SETUP006,CLEAN006,1,20260212,00002006,X,00003006,000006,X,OLD_000006,X,M,00000006,01,002,1,1,006,00004006,EA,1,1,1.000,REF_ELEMENT_6,X,1000000000000006,MES_ROUT_6,X,EXT_TASKLIST_6
200,Q,10000007,03,00000008,20260205,TECH_STATUS_07,CHG000000007,"","",20260212,USER_007,20260212,CHG_USER_007,002,PL08,HOLD,EA,8.000,107.000,008,000007,Routing for Material 0007,E,20260212,7,PROF007,K001,PL08,UDSET0007,000007,20260212,UDGRP0007,A002,003,1,SAMP0007,000007,X,0000000007,STR007,PKG007,000000000000100007,PL08,1,00001007,1,"",01,SETUP007,CLEAN007,1,20260212,00002007,X,00003007,000007,X,OLD_000007,X,M,00000007,01,003,1,1,007,00004007,EA,1,1,1.000,REF_ELEMENT_7,X,1000000000000007,MES_ROUT_7,X,EXT_TASKLIST_7
300,R,10000008,04,00000009,20260204,TECH_STATUS_08,CHG000000008,"","",20260212,USER_008,20260212,CHG_USER_008,003,PL09,REL,EA,9.000,108.000,009,000008,Routing for Material 0008,E,20260212,8,PROF008,K001,PL09,UDSET0008,000008,20260212,UDGRP0008,A002,004,1,SAMP0008,000008,X,0000000008,STR008,PKG008,000000000000100008,PL09,1,00001008,1,"",01,SETUP008,CLEAN008,1,20260212,00002008,X,00003008,000008,X,OLD_000008,X,M,00000008,01,004,1,1,008,00004008,EA,1,1,1.000,REF_ELEMENT_8,X,1000000000000008,MES_ROUT_8,X,EXT_TASKLIST_8
100,N,10000009,05,00000010,20260203,TECH_STATUS_09,CHG000000009,"","",20260212,USER_009,20260212,CHG_USER_009,001,PL10,CRTD,EA,10.000,109.000,010,000009,Routing for Material 0009,E,20260212,9,PROF009,K001,PL10,UDSET0009,000009,20260212,UDGRP0009,A002,005,1,SAMP0009,000009,X,0000000009,STR009,PKG009,000000000000100009,PL10,1,00001009,1,"",01,SETUP009,CLEAN009,1,20260212,00002009,X,00003009,000009,X,OLD_000009,X,M,00000009,01,005,1,1,009,00004009,EA,1,1,1.000,REF_ELEMENT_9,X,1000000000000009,MES_ROUT_9,X,EXT_TASKLIST_9
